Customer_id,Loan_Account_id,Product_Type,Loan_Amount_SGD,Outstanding_Balance_SGD,Day_Past_Due,Tenure,Interest_Rate,Current_EMI_SGD,Installment_Due_Date,Last_Payment_Date,Partial_Payment_Indicator,Number_of_Past_Payments,Payment_Frequency,Amount_Paid_Each_Month_SGD,Bounce_History,Settlement_History,Repayment_Irregularity_Flags,Contact_History_Call_Attempts,Contact_History_SMS,Contact_History_WhatsApp,Contact_History_EmailLogs,Channel_used,Response_Outcome,Average_Handling_Time,Name,Age,Gender,Occupation,Income_Band_SGD,Employeement_Type,Address,Urban_Rural_Tag,Language_Preference,Mobile_Number_Active_Status,Email_Activity,App_Login_Frequency,UPI_Transactions,Online_Banking_Activity,Smartphone_Penetration,Preferred_Channel,Call_SMS_Activity_Patterns,WhatsApp_OTT_usage_Indicator,Credit_Score,Recent_Inquiries,Loan_Exposure_Across_Banks,Delinquency_on_other_Loans,Recent_Score_Change,Unemployeement_rate_region,Inflation_Rate,Interest_Rate_Trend,Economic_Stress_Index,Do_Not_Call_Registry_Data,Regional_Time_Restrictions,Communication_Complaince_Limits
SCB887716372,86893497,Education loan,19000.0,6187.57,18,60,8.0,404.51,2025-09-26,2025-08-09,False,43,Irregular,385.25,0,Partial Settlement,False,0,2,0,1,IVR,Partial paid,13.99,An Tan,54,Male,Homemaker,"50,000 or Below",Contract,898 Clarke Quay #15-08 Eunos Singapore 767000 Singapore,Urban,Regional,True,True,11,12,8,Medium,App notification,High,False,709,3,0,False,27,1.86,4.98,-0.16,0.32,True,Morning,Holidays
SCB272552610,62441466,Business loan,265000.0,12079.71,12,24,9.5,12410.69,2025-10-14,2025-09-02,False,23,Regular,12167.34,0,Settled,False,5,6,4,0,SMS,Promised to pay,18.79,Yun Lim,35,Female,Student,"50,000 or Below",Freelance,377 Tampines Avenue #43-51 Ardmore Singapore 192852 Singapore,Urban,English,True,True,11,16,8,High,IVR,Low,True,696,0,0,True,11,2.19,5.16,-0.06,0.1,True,Morning,Daytime
SCB249638768,34210512,Credit card,13000.0,7722.38,23,36,10.0,440.44,2025-09-23,2025-08-01,False,16,Regular,419.47,1,Not Settled,False,2,4,3,0,IVR,Paid fully,22.65,Ling Cheong,26,Male,Student,"100,000 to 200,000",Full time,792 Potong Pasir Avenue #39-02 Yishun Singapore 959282 Singapore,Urban,English,True,True,14,11,10,High,SMS,High,True,709,2,0,False,-50,1.95,5.46,0.47,0.18,True,Night,Holidays
SCB245689489,29576703,Business loan,45000.0,1433.88,19,36,9.5,1513.55,2025-09-21,2025-08-03,False,35,Regular,1441.48,1,Partial Settlement,False,4,7,1,0,IVR,Partial paid,17.86,Priya Singh,49,Others,Student,"100,000 to 200,000",Contract,448 Orchard Road #26-01 Dairy Farm Singapore 478390 Singapore,Urban,Regional,True,True,10,18,7,High,App notification,Low,True,660,2,0,True,-19,1.86,5.35,0.22,0.1,False,Night,Weekdays
SCB287225564,75541801,Auto loan,155000.0,13485.41,17,12,9.0,14232.73,2025-10-14,2025-08-28,False,11,Regular,13554.98,0,Not Settled,False,3,0,1,0,IVR,Partial paid,27.8,Dong Yeo,67,Male,Homemaker,"200,000 to 300,000",Part time,909 Collyer Quay #31-08 Raffles Place Singapore 666685 Singapore,Urban,English,True,True,10,12,4,Low,Call,Low,True,693,3,1,True,-11,2.01,5.32,0.32,0.31,False,Morning,Evening
SCB885403480,26953831,Education loan,34000.0,1532.15,22,24,8.0,1614.62,2025-10-12,2025-08-21,True,23,Irregular,1537.73,0,Settled,True,5,3,0,0,Call,Partial paid,27.11,Xiao Mak,58,Male,Homemaker,"200,000 to 300,000",Part time,741 Joo Chiat Road #02-45 Jurong Singapore 753904 Singapore,Urban,Regional,True,True,10,20,12,Medium,Call,Low,False,607,4,0,True,-39,1.97,5.03,-0.16,0.37,True,Afternoon,Holidays
SCB237587448,81819939,Credit card,39000.0,1785.66,9,24,10.0,1835.64,2025-10-05,2025-08-27,False,23,Regular,1799.65,0,Partial Settlement,False,4,7,2,1,WhatsApp,Connected,11.07,Radha Krishnan,60,Female,Employed,"100,000 to 200,000",Freelance,402 Tanglin Road #03-20 Punggol Singapore 691007 Singapore,Urban,English,False,True,10,8,9,High,WhatsApp,High,True,715,6,0,False,-42,1.85,5.05,0.24,0.36,False,Afternoon,Evening
SCB444682002,84936358,Business loan,185000.0,22689.44,8,60,9.5,3963.05,2025-10-07,2025-08-29,False,54,Irregular,3885.34,0,Partial Settlement,False,1,2,0,2,IVR,Connected,17.5,Han Chan,63,Male,Student,"50,000 or Below",Unemployed,194 Geylang Road #22-31 High Street Singapore 283897 Singapore,Urban,Regional,True,False,11,14,9,Low,SMS,Medium,True,708,1,0,False,-24,1.94,5.06,0.14,0.21,False,Morning,Daytime
SCB746035632,17468810,Personal loan,88000.0,61342.14,2,60,8.5,1841.56,2025-10-16,2025-09-14,False,21,Irregular,1805.45,2,Settled,True,4,1,0,0,Email,Connected,20.69,Rahimah binti Karim,57,Female,Homemaker,"100,000 to 200,000",Unemployed,639 Bugis Street #32-86 Kranji Singapore 862790 Singapore,Urban,English,True,True,9,11,6,Medium,SMS,Medium,True,657,4,2,False,-28,2.17,5.3,-0.17,0.11,False,Morning,Evening
SCB299594780,97349431,Credit card,43000.0,1379.23,17,36,10.0,1456.86,2025-10-16,2025-08-30,False,35,Regular,1387.49,0,Settled,False,4,3,0,0,WhatsApp,Partial paid,23.95,Xiao Ng,66,Female,Student,"200,000 to 300,000",Full time,744 Victoria Street #06-44 Queenstown Singapore 746564 Singapore,Urban,Regional,True,True,6,5,4,Low,SMS,Medium,True,748,2,2,False,43,1.94,4.77,0.35,0.22,True,Night,Holidays
SCB150154221,13708654,Personal loan,40000.0,1806.83,14,24,8.5,1854.59,2025-09-26,2025-08-13,False,23,Regular,1818.23,0,Under Negotiation,False,1,4,1,0,Email,Connected,27.81,Rui Teo,31,Female,Student,"200,000 to 300,000",Part time,354 Kallang Road #45-46 Tanjong Pagar Singapore 654040 Singapore,Urban,Regional,True,True,10,18,8,High,Field Agent,Low,True,724,1,0,False,11,2.1,4.8,0.3,0.12,False,Night,Daytime
