Customer_id,Loan_Account_id,Product_Type,Loan_Amount_SGD,Outstanding_Balance_SGD,Day_Past_Due,Tenure,Interest_Rate,Current_EMI_SGD,Installment_Due_Date,Last_Payment_Date,Partial_Payment_Indicator,Number_of_Past_Payments,Payment_Frequency,Amount_Paid_Each_Month_SGD,Bounce_History,Settlement_History,Repayment_Irregularity_Flags,Contact_History_Call_Attempts,Contact_History_SMS,Contact_History_WhatsApp,Contact_History_EmailLogs,Channel_used,Response_Outcome,Average_Handling_Time,Name,Age,Gender,Occupation,Income_Band_SGD,Employeement_Type,Address,Urban_Rural_Tag,Language_Preference,Mobile_Number_Active_Status,Email_Activity,App_Login_Frequency,UPI_Transactions,Online_Banking_Activity,Smartphone_Penetration,Preferred_Channel,Call_SMS_Activity_Patterns,WhatsApp_OTT_usage_Indicator,Credit_Score,Recent_Inquiries,Loan_Exposure_Across_Banks,Delinquency_on_other_Loans,Recent_Score_Change,Unemployeement_rate_region,Inflation_Rate,Interest_Rate_Trend,Economic_Stress_Index,Do_Not_Call_Registry_Data,Regional_Time_Restrictions,Communication_Complaince_Limits
SCB887716372,86893497,Education loan,19000.0,6173.02,2,60,8.0,392.95,2025-09-25,2025-09-23,False,43,Irregular,385.25,0,Partial Settlement,False,0,2,0,1,IVR,Partial paid,13.99,Wei Wong,54,Male,Homemaker,"50,000 or Below",Contract,308 Upper Serangoon Road #22-30 Geylang Singapore 436096 Singapore,Urban,Regional,True,True,11,12,8,Medium,App notification,High,False,709,3,0,False,27,1.86,4.98,-0.16,0.32,True,Morning,Holidays
SCB272552610,62441466,Business loan,265000.0,12074.42,4,24,9.5,12410.69,2025-10-13,2025-10-09,False,23,Regular,12167.34,0,Settled,False,5,6,4,0,SMS,Promised to pay,18.79,Yan Wong,35,Female,Student,"50,000 or Below",Freelance,491 Telok Ayer Street #09-10 Queenstown Singapore 592638 Singapore,Urban,English,True,True,11,16,8,High,IVR,Low,True,696,0,0,True,11,2.19,5.16,-0.06,0.1,True,Morning,Daytime
SCB249638768,34210512,Credit card,13000.0,7698.96,2,36,10.0,427.86,2025-09-22,2025-09-20,False,16,Regular,419.47,0,Not Settled,False,2,4,3,0,IVR,Paid fully,22.65,Ming Lim,26,Male,Student,"100,000 to 200,000",Full time,643 Outram Road #01-07 Ang Mo Kio Singapore 750523 Singapore,Urban,English,True,True,14,11,10,High,SMS,High,True,719,2,0,False,-50,1.95,5.46,0.47,0.18,True,Night,Holidays
SCB245689489,29576703,Business loan,45000.0,1430.39,3,36,9.5,1470.31,2025-09-20,2025-09-17,False,35,Regular,1441.48,1,Partial Settlement,False,4,7,1,0,IVR,Partial paid,17.86,Anand Rao,49,Others,Student,"100,000 to 200,000",Contract,173 Kallang Road #45-53 Tengah Singapore 553978 Singapore,Urban,Regional,True,True,10,18,7,High,App notification,Low,True,660,2,0,True,-19,1.86,5.35,0.22,0.1,False,Night,Weekdays
SCB287225564,75541801,Auto loan,155000.0,13454.81,1,12,9.0,13826.08,2025-10-13,2025-10-12,False,11,Regular,13554.98,0,Not Settled,False,3,0,1,0,IVR,Partial paid,27.8,Feng Teo,67,Male,Homemaker,"200,000 to 300,000",Part time,218 Scotts Road #30-46 Sembawang Singapore 814782 Singapore,Urban,English,True,True,10,12,4,Low,Call,Low,True,693,3,1,True,-11,2.01,5.32,0.32,0.31,False,Morning,Evening
SCB885403480,26953831,Education loan,34000.0,1527.63,1,24,8.0,1568.48,2025-10-11,2025-10-10,False,23,Irregular,1537.73,0,Settled,True,5,3,0,0,Call,Partial paid,27.11,Li Ng,58,Male,Homemaker,"200,000 to 300,000",Part time,594 Woodlands Avenue #17-68 Orchard Singapore 586578 Singapore,Urban,Regional,True,True,10,20,12,Medium,Call,Low,False,677,4,0,False,-39,2.08,4.61,-0.08,0.15,True,Afternoon,Holidays
SCB237587448,81819939,Credit card,39000.0,1784.87,1,24,10.0,1835.64,2025-10-04,2025-10-03,False,23,Regular,1799.65,0,Partial Settlement,False,4,7,2,1,WhatsApp,Connected,11.07,Priya Gopal,60,Female,Employed,"100,000 to 200,000",Freelance,107 MacPherson Road #17-49 Braddell Singapore 323591 Singapore,Urban,English,False,True,10,8,9,High,WhatsApp,High,True,715,6,0,False,-42,1.85,5.05,0.24,0.36,False,Afternoon,Evening
SCB148763532,48538877,Business loan,185000.0,22763.38,27,60,9.5,4079.61,2025-10-06,2025-09-09,False,54,Irregular,3885.34,3,Partial Settlement,False,6,6,1,2,WhatsApp,Disconnected,11.51,Jie Wong,63,Female,Homemaker,"50,000 or Below",Full time,377 Holland Road #23-20 Bukit Panjang Singapore 603966 Singapore,Urban,English,True,False,3,14,8,Low,Call,Low,True,628,2,4,True,15,2.11,4.84,0.1,0.37,True,Afternoon,Evening
SCB247516100,39702914,Credit card,9000.0,2876.36,37,60,10.0,206.52,2025-10-11,2025-09-04,False,44,Irregular,191.22,2,Settled,True,4,3,2,0,SMS,Promised to pay,20.41,Hassan bin Ali,45,Female,Homemaker,"100,000 to 200,000",Part time,297 East Coast Road #42-31 Serangoon Singapore 130449 Singapore,Urban,Regional,True,True,14,10,5,Medium,Field Agent,Medium,True,667,3,2,False,0,2.03,4.1,-0.17,0.14,False,Morning,Weekends
SCB873383043,48660995,Auto loan,50000.0,4340.97,4,12,9.0,4460.02,2025-10-15,2025-10-11,False,11,Irregular,4372.57,0,Under Negotiation,True,5,3,2,1,SMS,Paid fully,16.43,Ling Lim,35,Female,Homemaker,"50,000 or Below",Contract,347 Pasir Panjang Road #49-81 Clementi New Town Singapore 329828 Singapore,Urban,Regional,True,True,7,13,8,Medium,IVR,Low,False,656,2,1,False,-12,1.94,4.81,0.12,0.28,False,Evening,Evening
SCB726709785,69292991,Education loan,21000.0,1814.66,0,12,8.0,1826.76,2025-10-07,2025-10-07,True,11,Irregular,1826.76,0,Partial Settlement,False,2,2,3,1,Call,Ignored,20.49,Feng Wong,65,Male,Unemployed,"200,000 to 300,000",Part time,339 East Coast Road #08-55 Ardmore Singapore 994492 Singapore,Urban,English,False,True,12,15,9,Low,IVR,Low,True,677,0,0,False,-41,2.03,5.12,0.1,0.14,False,Afternoon,Weekends
SCB385599266,96755840,Auto loan,200000.0,4120.76,0,60,9.0,4151.67,2025-09-18,2025-09-18,False,59,Irregular,4151.67,2,Under Negotiation,True,1,9,3,2,Call,Connected,17.11,Wei Chan,33,Male,Self-Employed,"50,000 to 100,000",Unemployed,363 Victoria Street #33-88 Kranji Singapore 772232 Singapore,Urban,Regional,True,True,16,13,9,High,Field Agent,Medium,True,643,3,1,False,5,2.13,5.45,-0.11,0.32,False,Night,Holidays
SCB795150809,70628583,Business loan,380000.0,312287.49,3,48,9.5,9737.73,2025-10-14,2025-10-11,False,10,Regular,9546.79,0,Partial Settlement,False,1,5,3,0,IVR,Connected,28.51,Ming Teo,50,Female,Homemaker,"500,000 or Above",Unemployed,715 Jalan Besar #11-58 Tanjong Pagar Singapore 291519 Singapore,Urban,Regional,True,True,15,15,4,Medium,Call,High,True,714,3,1,False,-8,2.18,4.51,-0.04,0.23,True,Evening,Weekdays
SCB357427167,29655820,Personal loan,74000.0,1817.84,27,48,8.5,1915.17,2025-10-11,2025-09-14,False,47,Irregular,1823.97,0,Partial Settlement,True,3,2,1,1,SMS,Partial paid,18.82,Jie Ng,64,Male,Employed,"500,000 or Above",Contract,662 Farrer Road #09-42 Lim Chu Kang Singapore 306711 Singapore,Urban,English,True,False,17,12,5,Low,IVR,High,True,681,1,0,False,16,2.19,4.69,0.19,0.36,False,Night,Evening
SCB494352531,50473321,Credit card,20000.0,9064.62,1,36,10.0,658.25,2025-10-07,2025-10-06,True,21,Regular,645.34,0,Not Settled,False,3,6,4,0,IVR,Connected,20.83,Wei Lim,26,Female,Employed,"50,000 or Below",Contract,460 Cecil Street #22-76 Anson Singapore 442367 Singapore,Urban,English,True,False,12,19,7,High,WhatsApp,Low,True,696,2,1,False,-34,1.81,4.27,0.21,0.23,False,Night,Evening
SCB185518073,46905710,Auto loan,5000.0,1759.45,4,48,9.0,126.92,2025-10-08,2025-10-04,False,33,Regular,124.43,1,Under Negotiation,False,4,6,1,0,Email,Disconnected,29.35,Yan Koh,46,Female,Unemployed,"200,000 to 300,000",Contract,724 MacPherson Road #43-61 Balestier Singapore 550336 Singapore,Urban,English,True,False,13,15,12,Low,IVR,Low,True,700,2,1,False,-3,2.04,5.42,0.08,0.39,True,Evening,Holidays
SCB640699345,96621344,Auto loan,195000.0,42084.13,2,48,9.0,4949.63,2025-10-05,2025-10-03,False,39,Irregular,4852.58,0,Under Negotiation,False,5,3,0,0,Call,Paid fully,10.75,Yan Tan,28,Female,Unemployed,"200,000 to 300,000",Full time,216 Beach Road #46-07 Orchard Singapore 767307 Singapore,Urban,Regional,True,True,12,9,4,Low,Field Agent,High,True,702,2,2,False,19,2.01,4.66,0.08,0.27,False,Evening,Weekdays
SCB517788947,85785788,Business loan,125000.0,5698.91,15,24,9.5,5854.1,2025-09-21,2025-09-06,False,23,Irregular,5739.31,0,Not Settled,True,3,6,2,5,WhatsApp,Promised to pay,18.17,Feng Ong,47,Female,Employed,"100,000 to 200,000",Unemployed,353 East Coast Road #04-52 Pasir Ris Singapore 256773 Singapore,Urban,English,True,False,14,21,9,High,App notification,Low,False,623,0,1,True,-46,2.18,5.24,0.36,0.29,False,Afternoon,Daytime
SCB559478341,18989138,Credit card,14000.0,642.71,23,24,10.0,678.33,2025-09-28,2025-09-05,True,23,Irregular,646.03,2,Partial Settlement,True,0,6,2,2,IVR,Promised to pay,11.49,Zainal binti Hassan,48,Female,Unemployed,"500,000 or Above",Unemployed,537 MacPherson Road #24-32 Braddell Singapore 117346 Singapore,Urban,English,True,True,9,19,2,Low,SMS,Medium,True,632,1,3,False,-19,2.05,5.47,0.24,0.18,True,Afternoon,Weekends
SCB285683482,22866619,Credit card,7000.0,447.44,21,36,10.0,237.16,2025-09-29,2025-09-08,False,34,Irregular,225.87,3,Partial Settlement,True,1,3,4,1,Call,Partial paid,23.71,Ming Lim,48,Female,Retired,"500,000 or Above",Full time,180 South Bridge Road #34-86 Novena Singapore 507241 Singapore,Urban,English,True,True,11,15,12,Medium,Field Agent,Medium,True,623,3,2,False,26,2.09,5.12,-0.06,0.36,True,Afternoon,Evening
SCB243549523,89491182,Auto loan,75000.0,3401.23,2,24,9.0,3494.89,2025-09-27,2025-09-25,False,23,Irregular,3426.36,0,Not Settled,True,5,1,3,1,WhatsApp,Partial paid,16.74,Jie Ong,32,Female,Self-Employed,"300,000 to 500,000",Contract,670 Maxwell Road #27-19 Ulu Pandan Singapore 424759 Singapore,Urban,English,True,True,8,15,9,High,Email,Medium,False,666,0,2,False,47,2.05,4.92,0.01,0.38,False,Afternoon,Evening
